rank tag source timestamp
0 1414 25 1292883.698
0 1414 27 1292883.698
0 1414 29 1292883.698
0 1414 31 1292883.698
0 1414 41 1292883.698
0 1414 43 1292883.698
0 1414 45 1292883.698
0 1414 47 1292883.698
0 1414 57 1292883.698
0 1414 59 1292883.698
0 1414 61 1292883.698
0 1414 63 1292883.698
0 1416 2 1292883.699
0 1416 4 1292883.699
0 1416 5 1292883.699
0 1417 1 1292883.701
0 1417 2 1292883.701
0 1417 3 1292883.701
0 1417 4 1292883.701
0 1417 5 1292883.701
0 1417 6 1292883.701
0 1417 7 1292883.701
0 1418 9 1292883.702
0 1418 11 1292883.702
0 1418 13 1292883.702
0 1418 15 1292883.702
0 1418 25 1292883.702
0 1418 27 1292883.702
0 1418 29 1292883.702
0 1418 31 1292883.702
0 1418 41 1292883.702
0 1418 43 1292883.702
0 1418 45 1292883.702
0 1418 47 1292883.702
0 1418 57 1292883.702
0 1418 59 1292883.702
0 1418 61 1292883.702
0 1418 63 1292883.702
0 1420 2 1292883.703
0 1420 4 1292883.703
0 1420 5 1292883.703
0 1421 1 1292883.704
0 1421 2 1292883.704
0 1421 3 1292883.704
0 1421 4 1292883.704
0 1421 5 1292883.704
0 1421 6 1292883.704
0 1421 7 1292883.704
0 1422 1 1292883.705
0 1422 2 1292883.705
0 1422 3 1292883.705
0 1422 4 1292883.705
0 1422 5 1292883.705
0 1422 6 1292883.705
0 1422 7 1292883.705
0 1423 1 1292883.706
0 1423 2 1292883.706
0 1423 3 1292883.706
0 1423 4 1292883.706
0 1423 5 1292883.706
0 1423 6 1292883.706
0 1423 7 1292883.706
0 1424 1 1292883.706
0 1424 2 1292883.706
0 1424 3 1292883.706
0 1424 4 1292883.706
0 1424 5 1292883.706
0 1424 6 1292883.706
0 1424 7 1292883.706
0 1426 8 1292883.782
0 1426 9 1292883.782
0 1426 10 1292883.782
0 1426 11 1292883.782
0 1426 12 1292883.782
0 1426 13 1292883.782
0 1426 14 1292883.782
0 1426 15 1292883.782
0 1426 24 1292883.782
0 1426 25 1292883.782
0 1426 26 1292883.782
0 1426 27 1292883.782
0 1426 28 1292883.782
0 1426 29 1292883.782
0 1426 30 1292883.782
0 1426 31 1292883.782
0 1426 40 1292883.782
0 1426 41 1292883.782
0 1426 42 1292883.782
0 1426 43 1292883.782
0 1426 44 1292883.782
0 1426 45 1292883.782
0 1426 46 1292883.782
0 1426 47 1292883.782
0 1426 56 1292883.782
0 1426 57 1292883.782
0 1426 58 1292883.782
0 1426 59 1292883.782
0 1426 60 1292883.782
0 1426 61 1292883.782
0 1426 62 1292883.782
0 1426 63 1292883.782
0 1427 9 1292883.783
0 1427 11 1292883.783
0 1427 13 1292883.783
0 1427 15 1292883.783
0 1427 25 1292883.783
0 1427 27 1292883.783
0 1427 29 1292883.783
